corpus,condition,model,n_seeds,jaccard_mean,jaccard_min
bank_marketing,A2,claude-haiku-4-5-20251001,10,0.6973669891875572,0.4166666666666667
bank_marketing,A2,claude-sonnet-4-5-20250929,10,0.4829171067758101,0.13333333333333333
bank_marketing,A3,claude-haiku-4-5-20251001,10,0.9668615984405455,0.8421052631578947
bank_marketing,A3,claude-sonnet-4-5-20250929,10,0.6761580425724227,0.4375
bank_marketing,A4,claude-haiku-4-5-20251001,10,0.9084656084656083,0.7142857142857143
bank_marketing,A4,claude-sonnet-4-5-20250929,10,0.8054494217537694,0.625
bank_marketing,A5,claude-haiku-4-5-20251001,10,0.8400074259723381,0.7142857142857143
bank_marketing,A5,claude-sonnet-4-5-20250929,10,0.6897447270925532,0.5384615384615384
diabetes_130us,A2,claude-haiku-4-5-20251001,10,0.30047720085493645,0.13253012048192772
diabetes_130us,A2,claude-sonnet-4-5-20250929,10,0.8060095619338316,0.7222222222222222
diabetes_130us,A3,claude-haiku-4-5-20251001,10,0.8484574674292023,0.7307692307692307
diabetes_130us,A3,claude-sonnet-4-5-20250929,10,0.7558524421615677,0.1917808219178082
diabetes_130us,A4,claude-haiku-4-5-20251001,10,0.7288333912570784,0.49019607843137253
diabetes_130us,A4,claude-sonnet-4-5-20250929,10,0.6319169696716094,0.40298507462686567
diabetes_130us,A5,claude-haiku-4-5-20251001,10,0.6289123548645432,0.2037037037037037
diabetes_130us,A5,claude-sonnet-4-5-20250929,10,0.769581405835116,0.5882352941176471
nyc_tlc_yellow,A2,claude-haiku-4-5-20251001,10,0.5289088902965298,0.26666666666666666
nyc_tlc_yellow,A2,claude-sonnet-4-5-20250929,10,0.7164465064705455,0.5151515151515151
nyc_tlc_yellow,A3,claude-haiku-4-5-20251001,10,0.8848741382074713,0.7142857142857143
nyc_tlc_yellow,A3,claude-sonnet-4-5-20250929,10,0.785311077061108,0.6206896551724138
nyc_tlc_yellow,A4,claude-haiku-4-5-20251001,10,0.6281712974428458,0.4166666666666667
nyc_tlc_yellow,A4,claude-sonnet-4-5-20250929,10,0.35781022202288526,0.10810810810810811
nyc_tlc_yellow,A5,claude-haiku-4-5-20251001,10,0.3871531076370051,0.058823529411764705
nyc_tlc_yellow,A5,claude-sonnet-4-5-20250929,10,0.39588227501940754,0.15384615384615385
online_retail_ii,A2,claude-haiku-4-5-20251001,10,0.7472664372664374,0.5333333333333333
online_retail_ii,A2,claude-sonnet-4-5-20250929,10,0.5040737687951311,0.3181818181818182
online_retail_ii,A3,claude-haiku-4-5-20251001,10,0.4659053292386627,0.2
online_retail_ii,A3,claude-sonnet-4-5-20250929,10,0.5775655799881806,0.42105263157894735
online_retail_ii,A4,claude-haiku-4-5-20251001,10,0.2732025382025382,0.13333333333333333
online_retail_ii,A4,claude-sonnet-4-5-20250929,10,0.8025726216412489,0.6111111111111112
online_retail_ii,A5,claude-haiku-4-5-20251001,10,0.2855940355940356,0.07142857142857142
online_retail_ii,A5,claude-sonnet-4-5-20250929,10,0.5666056294926265,0.3181818181818182
