corpus,condition,model,seed,feasible,subgroup,auc_gap,representation_shift
bank_marketing,A2,claude-haiku-4-5-20251001,1,True,age_band,0.13336497335899722,0.0
bank_marketing,A2,claude-haiku-4-5-20251001,1,True,job,0.1397424637914425,0.0
bank_marketing,A2,claude-haiku-4-5-20251001,1,True,marital,0.05400424196107345,0.0
bank_marketing,A2,claude-haiku-4-5-20251001,2,True,age_band,0.13336497335899722,0.0
bank_marketing,A2,claude-haiku-4-5-20251001,2,True,job,0.1397424637914425,0.0
bank_marketing,A2,claude-haiku-4-5-20251001,2,True,marital,0.05400424196107345,0.0
bank_marketing,A2,claude-haiku-4-5-20251001,3,True,age_band,0.13460266641824414,0.004065334891142842
bank_marketing,A2,claude-haiku-4-5-20251001,3,True,job,0.13472819963750626,0.0028367750712889484
bank_marketing,A2,claude-haiku-4-5-20251001,3,True,marital,0.048949848975173404,0.00387955541388256
bank_marketing,A2,claude-haiku-4-5-20251001,4,True,age_band,0.11144862011265866,5.141803467105174e-05
bank_marketing,A2,claude-haiku-4-5-20251001,4,True,job,0.15056572590897532,0.00016373365062255464
bank_marketing,A2,claude-haiku-4-5-20251001,4,True,marital,0.05317678198095144,0.0001176624922576211
bank_marketing,A2,claude-haiku-4-5-20251001,5,True,age_band,0.12310024044836065,0.010636216901257453
bank_marketing,A2,claude-haiku-4-5-20251001,5,True,job,0.14390070865698157,0.04714648783653126
bank_marketing,A2,claude-haiku-4-5-20251001,5,True,marital,0.0640005234352703,0.00901144814195573
bank_marketing,A2,claude-haiku-4-5-20251001,6,True,age_band,0.13336497335899722,0.0
bank_marketing,A2,claude-haiku-4-5-20251001,6,True,job,0.1397424637914425,0.0
bank_marketing,A2,claude-haiku-4-5-20251001,6,True,marital,0.05400424196107345,0.0
bank_marketing,A2,claude-haiku-4-5-20251001,7,True,age_band,0.13601978197653775,0.004071153102364809
bank_marketing,A2,claude-haiku-4-5-20251001,7,True,job,0.10330710464962756,0.002821121110293214
bank_marketing,A2,claude-haiku-4-5-20251001,7,True,marital,0.0556318176213948,0.00379837225642346
bank_marketing,A2,claude-haiku-4-5-20251001,8,True,age_band,0.11144862011265866,5.141803467105174e-05
bank_marketing,A2,claude-haiku-4-5-20251001,8,True,job,0.15056572590897532,0.00016373365062255464
bank_marketing,A2,claude-haiku-4-5-20251001,8,True,marital,0.05317678198095144,0.0001176624922576211
bank_marketing,A2,claude-haiku-4-5-20251001,9,True,age_band,0.061609178383916885,0.054170256345332984
bank_marketing,A2,claude-haiku-4-5-20251001,9,True,job,0.19283716537721118,0.06310910706334796
bank_marketing,A2,claude-haiku-4-5-20251001,9,True,marital,0.033982611116311734,0.024069032888196937
bank_marketing,A2,claude-haiku-4-5-20251001,10,True,age_band,0.13336497335899722,0.0
bank_marketing,A2,claude-haiku-4-5-20251001,10,True,job,0.1397424637914425,0.0
bank_marketing,A2,claude-haiku-4-5-20251001,10,True,marital,0.05400424196107345,0.0
bank_marketing,A2,claude-sonnet-4-5-20250929,1,True,age_band,0.2143567906857452,0.012293495704837317
bank_marketing,A2,claude-sonnet-4-5-20250929,1,True,job,0.1456898447543522,0.012507886004686039
bank_marketing,A2,claude-sonnet-4-5-20250929,1,True,marital,0.04097149014199264,0.008044182895059857
bank_marketing,A2,claude-sonnet-4-5-20250929,3,True,age_band,0.2143567906857452,0.012293495704837317
bank_marketing,A2,claude-sonnet-4-5-20250929,3,True,job,0.1456898447543522,0.012507886004686039
bank_marketing,A2,claude-sonnet-4-5-20250929,3,True,marital,0.04097149014199264,0.008044182895059857
bank_marketing,A2,claude-sonnet-4-5-20250929,4,True,age_band,0.2143567906857452,0.012293495704837317
bank_marketing,A2,claude-sonnet-4-5-20250929,4,True,job,0.1456898447543522,0.012507886004686039
bank_marketing,A2,claude-sonnet-4-5-20250929,4,True,marital,0.04097149014199264,0.008044182895059857
bank_marketing,A2,claude-sonnet-4-5-20250929,5,True,age_band,0.11144862011265866,5.141803467105174e-05
bank_marketing,A2,claude-sonnet-4-5-20250929,5,True,job,0.15056572590897532,0.00016373365062255464
bank_marketing,A2,claude-sonnet-4-5-20250929,5,True,marital,0.05317678198095144,0.0001176624922576211
bank_marketing,A2,claude-sonnet-4-5-20250929,6,True,age_band,0.2143567906857452,0.012293495704837317
bank_marketing,A2,claude-sonnet-4-5-20250929,6,True,job,0.1456898447543522,0.012507886004686039
