corpus,condition,model,seed,n_rules,n_executable,set_retention,set_retention_ex_typemismatch,n_typemismatch,inert_rate,product_of_rule_retentions,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,independence_ratio
bank_marketing,A2,claude-sonnet-4-5-20250929,1,19,19,0.8165003179518372,0.8165003179518372,0,0.9473684210526315,0.8165003179518372,0,0,0,0,0,0,0,0,0,0,1.0
bank_marketing,A2,claude-sonnet-4-5-20250929,2,31,31,0.0003870718018192375,0.0003870718018192375,0,0.967741935483871,0.0003870718018192375,0,4,0,1,0,0,0,0,0,0,1.0
bank_marketing,A2,claude-sonnet-4-5-20250929,3,19,19,0.8165003179518372,0.8165003179518372,0,0.9473684210526315,0.8165003179518372,0,0,0,0,0,0,0,0,0,0,1.0
bank_marketing,A2,claude-sonnet-4-5-20250929,4,20,20,0.8165003179518372,0.8165003179518372,0,0.95,0.8165003179518372,0,1,0,0,0,0,0,0,0,0,1.0
bank_marketing,A2,claude-sonnet-4-5-20250929,5,20,20,0.9995852802123365,0.9995852802123365,0,0.9,0.9995852909140923,0,0,0,0,0,0,0,0,0,0,0.9999999892938042
bank_marketing,A2,claude-sonnet-4-5-20250929,6,20,20,0.8165003179518372,0.8165003179518372,0,0.95,0.8165003179518372,0,4,0,0,0,0,0,0,0,0,1.0
bank_marketing,A2,claude-sonnet-4-5-20250929,7,19,19,0.8165003179518372,0.8165003179518372,0,0.9473684210526315,0.8165003179518372,0,4,0,0,0,0,0,0,0,0,1.0
bank_marketing,A2,claude-sonnet-4-5-20250929,8,19,19,0.0,0.0,0,0.8947368421052632,0.14982754873638596,0,0,0,1,0,0,0,0,0,0,0.0
bank_marketing,A2,claude-sonnet-4-5-20250929,9,20,20,0.8165003179518372,0.8165003179518372,0,0.95,0.8165003179518372,0,4,0,0,0,0,0,0,0,0,1.0
bank_marketing,A2,claude-sonnet-4-5-20250929,10,19,19,0.9996129281981808,0.9996129281981808,0,0.9473684210526315,0.9996129281981808,0,0,0,0,0,0,0,0,0,0,1.0
bank_marketing,A2,claude-haiku-4-5-20251001,1,17,17,1.0,1.0,0,1.0,1.0,0,4,0,0,0,0,0,0,0,0,1.0
bank_marketing,A2,claude-haiku-4-5-20251001,2,17,17,1.0,1.0,0,1.0,1.0,0,1,0,0,0,0,0,0,0,0,1.0
bank_marketing,A2,claude-haiku-4-5-20251001,3,16,16,0.9593298128231358,0.9593298128231358,0,0.9375,0.9593298128231358,0,5,0,0,0,0,0,0,0,0,1.0
bank_marketing,A2,claude-haiku-4-5-20251001,4,17,17,0.9996129281981808,0.9996129281981808,0,0.9411764705882353,0.9996129281981808,0,4,0,0,0,0,0,0,0,0,1.0
bank_marketing,A2,claude-haiku-4-5-20251001,5,17,17,0.713179794851945,0.713179794851945,0,0.8823529411764706,0.71329066504097,0,0,0,0,0,0,0,0,1,0,0.999844565203978
bank_marketing,A2,claude-haiku-4-5-20251001,6,16,16,1.0,1.0,0,1.0,1.0,0,4,0,0,0,0,0,0,0,0,1.0
bank_marketing,A2,claude-haiku-4-5-20251001,7,17,17,0.9591639249080705,0.9591639249080705,0,0.8823529411764706,0.9589584833039475,0,5,0,0,0,0,0,0,0,0,1.0002142340963658
bank_marketing,A2,claude-haiku-4-5-20251001,8,18,18,0.9996129281981808,0.9996129281981808,0,0.9444444444444444,0.9996129281981808,0,4,0,0,0,0,0,0,0,0,1.0
bank_marketing,A2,claude-haiku-4-5-20251001,9,17,17,0.14222123918272553,0.14222123918272553,0,0.8235294117647058,0.10227336638841192,0,1,0,1,0,0,0,0,2,0,1.390598981973472
bank_marketing,A2,claude-haiku-4-5-20251001,10,16,16,1.0,1.0,0,1.0,1.0,0,4,0,0,0,0,0,0,0,0,1.0
bank_marketing,A3,claude-sonnet-4-5-20250929,1,27,27,0.9996129281981808,0.9996129281981808,0,0.9259259259259259,0.9992260062209414,0,0,0,0,0,0,0,0,0,0,1.0003872216844143
bank_marketing,A3,claude-sonnet-4-5-20250929,2,19,19,0.0,0.0,0,0.8947368421052632,7.087772798387597e-05,0,0,0,2,0,0,0,0,0,0,0.0
bank_marketing,A3,claude-sonnet-4-5-20250929,3,26,26,0.0,0.0,0,0.9230769230769231,0.0003869219772394739,0,0,0,1,0,0,0,0,0,0,0.0
bank_marketing,A3,claude-sonnet-4-5-20250929,4,21,21,0.9996129281981808,0.9996129281981808,0,0.9047619047619048,0.9992260062209414,0,0,0,0,0,0,0,0,0,0,1.0003872216844143
bank_marketing,A3,claude-sonnet-4-5-20250929,5,27,27,0.8165003179518372,0.8165003179518372,0,0.9259259259259259,0.8165711956798212,0,0,0,0,0,0,0,0,0,0,0.999913200798217
bank_marketing,A3,claude-sonnet-4-5-20250929,6,24,24,0.18311261024634357,0.18311261024634357,0,0.875,0.18342358306275627,0,0,0,1,0,0,0,0,0,0,0.9983046192249646
bank_marketing,A3,claude-sonnet-4-5-20250929,7,27,27,0.0003870718018192375,0.0003870718018192375,0,0.9259259259259259,0.00031619407383536155,0,0,0,1,0,0,0,0,0,0,1.2241589386042102
bank_marketing,A3,claude-sonnet-4-5-20250929,8,27,27,0.9996129281981808,0.9996129281981808,0,0.9259259259259259,0.9992260062209414,0,0,0,0,0,0,0,0,0,0,1.0003872216844143
bank_marketing,A3,claude-sonnet-4-5-20250929,9,26,26,0.0,0.0,0,0.9230769230769231,0.0003869219772394739,0,0,0,1,0,0,0,0,0,0,0.0
bank_marketing,A3,claude-sonnet-4-5-20250929,10,24,24,0.9995852802123365,0.9995852802123365,0,0.875,0.9991983796344662,0,0,0,0,0,0,0,0,0,0,1.0003872109740728
bank_marketing,A3,claude-haiku-4-5-20251001,1,17,17,0.9996129281981808,0.9996129281981808,0,0.9411764705882353,0.9996129281981808,0,0,0,0,0,0,0,0,0,0,1.0
bank_marketing,A3,claude-haiku-4-5-20251001,2,17,17,0.9996129281981808,0.9996129281981808,0,0.9411764705882353,0.9996129281981808,0,0,0,0,0,0,0,0,0,0,1.0
bank_marketing,A3,claude-haiku-4-5-20251001,3,17,17,0.9996129281981808,0.9996129281981808,0,0.9411764705882353,0.9996129281981808,0,0,0,0,0,0,0,0,0,0,1.0
bank_marketing,A3,claude-haiku-4-5-20251001,4,17,17,0.9996129281981808,0.9996129281981808,0,0.9411764705882353,0.9996129281981808,0,0,0,0,0,0,0,0,0,0,1.0
bank_marketing,A3,claude-haiku-4-5-20251001,5,17,17,0.9996129281981808,0.9996129281981808,0,0.9411764705882353,0.9996129281981808,0,0,0,0,0,0,0,0,0,0,1.0
bank_marketing,A3,claude-haiku-4-5-20251001,6,17,17,0.9996129281981808,0.9996129281981808,0,0.9411764705882353,0.9996129281981808,0,0,0,0,0,0,0,0,0,0,1.0
bank_marketing,A3,claude-haiku-4-5-20251001,7,17,17,1.0,1.0,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,1.0
bank_marketing,A3,claude-haiku-4-5-20251001,8,18,18,0.0,0.0,0,0.8888888888888888,0.0,0,0,0,1,0,0,0,0,0,0,
bank_marketing,A3,claude-haiku-4-5-20251001,9,17,17,0.9996129281981808,0.9996129281981808,0,0.9411764705882353,0.9996129281981808,0,0,0,0,0,0,0,0,0,0,1.0
bank_marketing,A3,claude-haiku-4-5-20251001,10,17,17,0.9996129281981808,0.9996129281981808,0,0.9411764705882353,0.9996129281981808,0,0,0,0,0,0,0,0,0,0,1.0
bank_marketing,A4,claude-sonnet-4-5-20250929,1,18,18,0.18311261024634357,0.18311261024634357,0,0.8888888888888888,0.18342865449559917,0,0,0,1,0,0,0,0,0,0,0.9982770181129842
bank_marketing,A4,claude-sonnet-4-5-20250929,2,18,18,0.0003870718018192375,0.0003870718018192375,0,0.8888888888888888,0.14989857628894962,0,0,0,1,0,0,0,0,0,0,0.0025822246708541424
bank_marketing,A4,claude-sonnet-4-5-20250929,3,18,18,0.8165003179518372,0.8165003179518372,0,0.8888888888888888,0.8161842737025816,0,0,0,0,0,0,0,0,0,0,1.0003872216844143
bank_marketing,A4,claude-sonnet-4-5-20250929,4,18,18,0.9996129281981808,0.9996129281981808,0,0.8888888888888888,0.9992260062209414,0,0,0,0,0,0,0,0,0,0,1.0003872216844143
bank_marketing,A4,claude-sonnet-4-5-20250929,5,18,18,0.9996129281981808,0.9996129281981808,0,0.8888888888888888,0.9992260062209414,0,0,0,0,0,0,0,0,0,0,1.0003872216844143
bank_marketing,A4,claude-sonnet-4-5-20250929,6,19,19,0.9996129281981808,0.9996129281981808,0,0.8947368421052632,0.9992260062209414,0,0,0,0,0,0,0,0,0,0,1.0003872216844143
bank_marketing,A4,claude-sonnet-4-5-20250929,7,19,19,0.18311261024634357,0.18311261024634357,0,0.8421052631578947,0.18342358306275627,0,0,0,1,0,0,0,0,0,0,0.9983046192249646
bank_marketing,A4,claude-sonnet-4-5-20250929,8,18,18,0.9996129281981808,0.9996129281981808,0,0.8888888888888888,0.9992260062209414,0,0,0,0,0,0,0,0,0,0,1.0003872216844143
bank_marketing,A4,claude-sonnet-4-5-20250929,9,21,21,0.0,0.0,0,0.9047619047619048,0.0,0,0,0,2,0,0,0,0,0,0,
bank_marketing,A4,claude-sonnet-4-5-20250929,10,18,18,0.9996129281981808,0.9996129281981808,0,0.8888888888888888,0.9992260062209414,0,0,0,0,0,0,0,0,0,0,1.0003872216844143
bank_marketing,A4,claude-haiku-4-5-20251001,1,17,17,0.9995299842406481,0.9995299842406481,0,0.8823529411764706,0.9995300163459152,0,0,0,0,0,0,0,0,0,0,0.9999999678796369
bank_marketing,A4,claude-haiku-4-5-20251001,2,17,17,0.9995299842406481,0.9995299842406481,0,0.8823529411764706,0.9995300163459152,0,0,0,0,0,0,0,0,0,0,0.9999999678796369
bank_marketing,A4,claude-haiku-4-5-20251001,3,17,17,0.9995299842406481,0.9995299842406481,0,0.8823529411764706,0.9995300163459152,0,0,0,0,0,0,0,0,0,0,0.9999999678796369
bank_marketing,A4,claude-haiku-4-5-20251001,4,17,17,0.9995299842406481,0.9995299842406481,0,0.8823529411764706,0.9995300163459152,0,0,0,0,0,0,0,0,0,0,0.9999999678796369
bank_marketing,A4,claude-haiku-4-5-20251001,5,18,18,0.8159473582349526,0.8159473582349526,0,0.8888888888888888,0.815631528020811,0,0,0,0,0,0,0,0,0,0,1.0003872216844143
bank_marketing,A4,claude-haiku-4-5-20251001,6,18,18,0.0,0.0,0,0.8333333333333334,0.0,0,0,0,1,0,0,0,0,0,0,
bank_marketing,A4,claude-haiku-4-5-20251001,7,18,18,0.0003870718018192375,0.0003870718018192375,0,0.8888888888888888,0.0003870396965521453,0,0,0,1,0,0,0,0,0,0,1.0000829508378035
bank_marketing,A4,claude-haiku-4-5-20251001,8,18,18,0.9995299842406481,0.9995299842406481,0,0.8888888888888888,0.9995300163459152,0,0,0,0,0,0,0,0,0,0,0.9999999678796369
bank_marketing,A4,claude-haiku-4-5-20251001,9,18,18,0.8158644142774198,0.8158644142774198,0,0.8333333333333334,0.8155638763139885,0,0,0,0,0,0,0,0,0,0,1.0003685032799512
bank_marketing,A4,claude-haiku-4-5-20251001,10,17,17,0.9995299842406481,0.9995299842406481,0,0.8823529411764706,0.9995300163459152,0,0,0,0,0,0,0,0,0,0,0.9999999678796369
bank_marketing,A5,claude-sonnet-4-5-20250929,1,20,20,0.9996129281981808,0.9996129281981808,0,0.95,0.9996129281981808,0,0,0,0,0,0,0,1,0,0,1.0
bank_marketing,A5,claude-sonnet-4-5-20250929,2,20,20,0.8158091183057314,0.8158091183057314,0,0.9,0.8154933416003683,0,0,0,0,0,0,0,0,0,0,1.0003872216844143
bank_marketing,A5,claude-sonnet-4-5-20250929,3,20,20,0.0,0.0,0,0.8,0.08404713145797162,0,0,0,2,0,0,0,0,0,2,0.0
bank_marketing,A5,claude-sonnet-4-5-20250929,4,20,20,0.18311261024634357,0.18311261024634357,0,0.9,0.18342865449559917,0,0,0,1,0,0,0,0,0,0,0.9982770181129842
bank_marketing,A5,claude-sonnet-4-5-20250929,5,20,20,0.0,0.0,0,0.85,0.08407967632978496,0,0,0,2,0,0,0,0,0,0,0.0
bank_marketing,A5,claude-sonnet-4-5-20250929,6,20,20,0.0,0.0,0,0.8,0.0011743486515605251,0,0,0,4,0,0,0,0,0,2,0.0
bank_marketing,A5,claude-sonnet-4-5-20250929,7,20,20,0.0003870718018192375,0.0003870718018192375,0,0.9,0.14989857628894962,0,0,0,1,0,0,0,0,0,0,0.0025822246708541424
bank_marketing,A5,claude-sonnet-4-5-20250929,8,21,21,0.00022118388675385,0.00022118388675385,0,0.8095238095238095,0.07130430521569178,0,0,0,2,0,0,0,0,0,2,0.0031019709971898657
bank_marketing,A5,claude-sonnet-4-5-20250929,9,20,20,0.18311261024634357,0.18311261024634357,0,0.9,0.18342865449559917,0,0,0,1,0,0,0,0,0,0,0.9982770181129842
